COMMAND  PID    USER   FD   TYPE             DEVICE    SIZE/OFF    NODE NAME
java    8870 jenkins  mem    REG              252,0          64  262161 /data/jenkins/secret.key
java    8870 jenkins  mem    REG              252,0       38605 2752789 /data/jenkins/plugins/terraform/WEB-INF/lib/jackson-annotations-2.4.0.jar
java    8870 jenkins  mem    REG              252,0      415791  263897 /data/jenkins/plugins/mapdb-api/WEB-INF/lib/mapdb-1.0.9.jar
java    8870 jenkins  mem    REG              252,0        2623  263898 /data/jenkins/plugins/mapdb-api/WEB-INF/lib/mapdb-api.jar
java    8870 jenkins  mem    REG              252,0     1088083  395291 /data/jenkins/plugins/extended-choice-parameter/WEB-INF/lib/boon-0.33.jar
java    8870 jenkins  mem    REG              252,0       15347  395312 /data/jenkins/plugins/extended-choice-parameter/WEB-INF/lib/opencsv-2.0.jar
java    8870 jenkins  mem    REG              252,0       51176  395319 /data/jenkins/plugins/extended-choice-parameter/WEB-INF/lib/extended-choice-parameter.jar
java    8870 jenkins  mem    REG              252,0       22073  395282 /data/jenkins/plugins/jquery/WEB-INF/lib/classes.jar
java    8870 jenkins  mem    REG              252,0      355174  395268 /data/jenkins/plugins/jquery/WEB-INF/lib/stapler-1.237-SNAPSHOT.jar
java    8870 jenkins  mem    REG              252,0      379343  395274 /data/jenkins/plugins/jquery/WEB-INF/lib/asm5-5.0.1.jar
java    8870 jenkins  mem    REG              252,0      121101  395273 /data/jenkins/plugins/jquery/WEB-INF/lib/stapler-adjunct-jquery-1.11.2-0.jar
java    8870 jenkins  mem    REG              252,0       26366  395277 /data/jenkins/plugins/jquery/WEB-INF/lib/javax.annotation-api-1.2.jar
java    8870 jenkins  mem    REG              252,0       57779  395266 /data/jenkins/plugins/jquery/WEB-INF/lib/commons-fileupload-1.2.1.jar
java    8870 jenkins  mem    REG              252,0       17522  395279 /data/jenkins/plugins/jquery/WEB-INF/lib/tiger-types-1.3.jar
java    8870 jenkins  mem    REG              252,0     2189111  395267 /data/jenkins/plugins/jquery/WEB-INF/lib/guava-14.0.jar
java    8870 jenkins  mem    REG              252,0       71976  395280 /data/jenkins/plugins/jquery/WEB-INF/lib/jzlib-1.1.3.jar
java    8870 jenkins  mem    REG              252,0       76685  395278 /data/jenkins/plugins/jquery/WEB-INF/lib/commons-discovery-0.4.jar
java    8870 jenkins  mem    REG              252,0       31866  395275 /data/jenkins/plugins/jquery/WEB-INF/lib/jsr305-2.0.1.jar
java    8870 jenkins  mem    REG              252,0       79008 1180785 /data/jenkins/plugins/workflow-durable-task-step/WEB-INF/lib/workflow-durable-task-step.jar
java    8870 jenkins  mem    REG              252,0       41346  263664 /data/jenkins/plugins/durable-task/WEB-INF/lib/durable-task.jar
java    8870 jenkins  mem    REG              252,0      154766  395926 /data/jenkins/plugins/github-branch-source/WEB-INF/lib/github-branch-source.jar
java    8870 jenkins  mem    REG              252,0       21882  395912 /data/jenkins/plugins/pipeline-model-extensions/WEB-INF/lib/pipeline-model-extensions.jar
java    8870 jenkins  mem    REG              252,0      191738 1181975 /data/jenkins/plugins/pipeline-model-api/WEB-INF/lib/jackson-core-2.2.2.jar
java    8870 jenkins  mem    REG              252,0       82732 1181980 /data/jenkins/plugins/pipeline-model-api/WEB-INF/lib/pipeline-model-api.jar
java    8870 jenkins  mem    REG              252,0       45944 1181976 /data/jenkins/plugins/pipeline-model-api/WEB-INF/lib/json-20090211.jar
java    8870 jenkins  mem    REG              252,0     5903958 1181984 /data/jenkins/plugins/pipeline-model-api/WEB-INF/lib/pipeline-model-json-shaded-1.1.4.jar
