"Pipeline: Step API
 API for asynchronous build step primitive.",2.22
"Pipeline: Supporting APIs
 Common utility implementations to build Pipeline Plugin",3.4
"Plain Credentials Plugin
 Allows use of plain strings and files as credentials.",1.7
"Resource Disposer Plugin
Dispose resources asynchronously. Utility plugin for resources that require more retries or take a long time to delete.",0.14
"Role-based Authorization Strategy
 Enables user authorization using a Role-Based strategy. Roles can be defined globally or for particular jobs or nodes selected by regular expressions.",2.16
"Run Condition Plugin
Define conditions for the execution of build steps",1.3
"SCM API Plugin
 This plugin provides a new enhanced API for interacting with SCM systems.",2.6.3
"SCM Sync Configuration Plugin
 This plugin allows you to synchronize your hudson configuration files with an SCM, allowing you to specify a commit message every time a config file is modified.",0.0.10
"Script Security Plugin
 Allows Jenkins administrators to control what in-process scripts can be run by less-privileged users.",1.72
"Slack Notification Plugin
 This plugin is a Slack notifier that can publish build status to Slack channels.",2.4
"SSH Agent Plugin
This plugin allows you to provide SSH credentials to builds via a ssh-agent in Jenkins",1.19
"SSH Build Agents plugin
 Allows to launch agents over SSH, using a Java implementation of the SSH protocol.",1.31.2
"SSH Credentials Plugin
Allows storage of SSH credentials in Jenkins",1.18.1
"Structs Plugin
 Library plugin for DSL plugins that need names for Jenkins objects.",1.2
Subversion Plug-in,2.13.1
"Timestamper
Adds timestamps to the Console Output",1.11.3
"Token Macro Plugin
 This plug-in adds reusable macro expansion capability for other plug-ins to use.",2.12
"Trilead API Plugin
 Trilead API Plugin provides the Trilead library to any dependent plugins in an easily update-able manner.",1.0.6
"user build vars plugin
 This plugin is used to set user build variables: jenkins user name and id. 

This plugin is up for adoption! We are looking for new maintainers. Visit our Adopt a Plugin initiative for more information.",1.5
"WMI Windows Agents Plugin
 Allows you to setup agents on Windows machines over Windows Management Instrumentation (WMI)",1.6
"Workspace Cleanup Plugin
 This plugin deletes the project workspace when invoked.",0.38
