23847 intern Strings occupying 2787752 bytes.
class_loader	classes	bytes	parent_loader	alive?	type
0x00002b44a70614b8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bfff2f8	20	276232	0x00002b445bfff380	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445f60e8d8	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a701cee8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c956f40	1	3080	0x00002b445bf424f0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf98140	50	647928	0x00002b445bf981c8	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c95dd00	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f3e7950	1	3112	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f01610	1	3080	0x00002b445bee62d0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c958068	1	3080	0x00002b445be5f190	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9588f0	1	3080	0x00002b445bfb5cb0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95aa90	1	3080	0x00002b445bee62d0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f927e8	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6ff23c0	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c957e60	1	3064	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9576f8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445beeca10	59	636672	0x00002b445beeca98	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445bf18948	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
