
 num     #instances         #bytes  class name
 278:           103          11296  [Lgroovy.lang.MetaMethod;
 279:            83          11288  java.net.URLClassLoader
 280:            64          11264  org.springframework.beans.GenericTypeAwarePropertyDescriptor
 281:           175          11200  org.codehaus.groovy.ast.VariableScope
 282:           278          11120  hudson.model.StringParameterDefinition
 283:           455          10920  $Proxy42
 284:           271          10840  org.apache.commons.beanutils.DynaProperty
 285:           338          10816  sun.reflect.UnsafeObjectFieldAccessorImpl
 286:           192          10752  java.io.ObjectOutputStream$HandleTable
 287:            95          10640  sun.net.www.protocol.jar.URLJarFile
 288:           132          10560  org.codehaus.groovy.reflection.CachedClass$1
 289:           132          10560  org.codehaus.groovy.reflection.CachedClass$2
 290:           132          10560  org.codehaus.groovy.reflection.CachedClass$3
 291:           132          10560  org.codehaus.groovy.reflection.CachedClass$4
 292:           132          10560  org.codehaus.groovy.reflection.CachedClass$5
 293:           132          10560  org.codehaus.groovy.reflection.CachedClass$6
 294:           132          10560  org.codehaus.groovy.reflection.CachedClass$7
 295:           132          10560  org.codehaus.groovy.reflection.CachedClass$8
 296:           219          10512  java.security.Permissions
 297:           217          10416  java.io.FilePermission
 298:           160          10240  java.util.concurrent.ConcurrentHashMap$ValueIterator
 299:           106          10176  java.text.DecimalFormatSymbols
 300:           317          10144  org.codehaus.groovy.util.FastArray
 301:           250          10000  hudson.tasks.LogRotator
 302:            40           9920  hudson.model.Executor
 303:           404           9696  java.util.LinkedHashSet
 304:           397           9528  $Proxy21
 305:            38           9424  hudson.matrix.MatrixConfiguration
 306:           196           9408  org.kohsuke.stapler.MetaClass$1
 307:           388           9312  sun.reflect.DelegatingMethodAccessorImpl
 308:            89           9256  java.text.SimpleDateFormat
 309:           289           9248  java.util.Arrays$ArrayList
 310:           384           9216  com.thoughtworks.xstream.converters.SingleValueConverterWrapper
 311:           286           9152  hudson.plugins.heavy_job.HeavyJobProperty
 312:           286           9152  org.jenkinsci.plugins.mavenrepocleaner.MavenRepoCleanerProperty
 313:           379           9096  java.util.AbstractMap$2
 314:           284           9088  java.lang.ThreadLocal$ThreadLocalMap
 315:           378           9072  hudson.plugins.copyProjectLink.CopyProjectAction
 316:           378           9072  org.jvnet.hudson.plugins.shelveproject.ShelveProjectProperty
 317:           378           9072  hudson.plugins.disk_usage.ProjectDiskUsageAction
 318:           378           9072  hudson.model.AbstractProject$1
 319:           188           9024  java.math.BigInteger
