INFO   | jvm 1    | 2014/01/30 12:50:51 | 30.01.2014 12:50:51 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:50:51 | INFO: Listed all plugins
INFO   | jvm 1    | 2014/01/30 12:51:03 | 30.01.2014 12:51:03 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:51:03 | INFO: Prepared all plugins
INFO   | jvm 1    | 2014/01/30 12:51:36 | 30.01.2014 12:51:36 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:51:36 | INFO: Started all plugins
INFO   | jvm 1    | 2014/01/30 12:51:36 | 30.01.2014 12:51:36 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:51:36 | INFO: Augmented all extensions
INFO   | jvm 1    | 2014/01/30 12:51:57 | 30.01.2014 12:51:57 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:51:57 | INFO: Loaded all jobs
INFO   | jvm 1    | 2014/01/30 12:52:00 | 30.01.2014 12:52:00 org.jenkinsci.main.modules.sshd.SSHD start
INFO   | jvm 1    | 2014/01/30 12:52:00 | INFO: Started SSHD at port 38460
INFO   | jvm 1    | 2014/01/30 12:52:00 | 30.01.2014 12:52:00 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:52:00 | INFO: Completed initialization
INFO   | jvm 1    | 2014/01/30 12:52:00 | 30.01.2014 12:52:00 hudson.TcpSlaveAgentListener <init>
INFO   | jvm 1    | 2014/01/30 12:52:00 | INFO: JNLP slave agent listener started on TCP port 35108
INFO   | jvm 1    | 2014/01/30 12:52:00 | 30.01.2014 12:52:00 hudson.plugins.scm_sync_configuration.SCMManipulator scmConfigurationSettledUp
INFO   | jvm 1    | 2014/01/30 12:52:00 | INFO: Creating scmRepository connection data ..
INFO   | jvm 1    | 2014/01/30 12:52:00 | 30.01.2014 12:52:00 hudson.plugins.scm_sync_configuration.scms.ScmSyncSubversionSCM extractScmCredentials
INFO   | jvm 1    | 2014/01/30 12:52:00 | INFO: Extracting SVN Credentials for url : http://subversion.dakosy.de/edi/FairAtLink/Programmierung/Java/Jenkins
INFO   | jvm 1    | 2014/01/30 12:52:01 | 30.01.2014 12:52:01 hudson.plugins.scm_sync_configuration.scms.SCM getConfiguredRepository
INFO   | jvm 1    | 2014/01/30 12:52:01 | INFO: Creating SCM repository object for url : scm:svn:http://subversion.dakosy.de/edi/FairAtLink/Programmierung/Java/Jenkins
INFO   | jvm 1    | 2014/01/30 12:52:01 | 30.01.2014 12:52:01 hudson.plugins.scm_sync_configuration.scms.SCM getConfiguredRepository
INFO   | jvm 1    | 2014/01/30 12:52:01 | INFO: Populating host data into SCM repository object ...
INFO   | jvm 1    | 2014/01/30 12:52:01 | 30.01.2014 12:52:01 hudson.plugins.scm_sync_configuration.scms.SCM getConfiguredRepository
INFO   | jvm 1    | 2014/01/30 12:52:01 | INFO: Populating credentials data into SCM repository object ...
INFO   | jvm 1    | 2014/01/30 12:52:01 | 30.01.2014 12:52:01 hudson.plugins.scm_sync_configuration.ScmSyncConfigurationBusiness initializeRepository
INFO   | jvm 1    | 2014/01/30 12:52:01 | INFO: Initializing SCM repository for scm-sync-configuration plugin ...
